time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-22 00:00:00+00:00,3,3,44,16
2023-09-23 00:00:00+00:00,1,1,23,7
2023-09-24 00:00:00+00:00,0,0,12,9
2023-09-25 00:00:00+00:00,2,2,59,26
2023-09-26 00:00:00+00:00,1,1,57,24
2023-09-27 00:00:00+00:00,0,0,100,22
2023-09-28 00:00:00+00:00,1,1,71,13
2023-09-29 00:00:00+00:00,3,3,58,24
2023-09-30 00:00:00+00:00,0,0,16,7
2023-10-01 00:00:00+00:00,1,1,22,7
2023-10-02 00:00:00+00:00,1,1,63,22
2023-10-03 00:00:00+00:00,1,1,51,13
2023-10-04 00:00:00+00:00,2,2,63,13
2023-10-05 00:00:00+00:00,2,2,39,16
2023-10-06 00:00:00+00:00,14,7,32,10
2023-10-07 00:00:00+00:00,13,8,19,10
2023-10-08 00:00:00+00:00,7,7,84,14
2023-10-09 00:00:00+00:00,4,3,123,26
2023-10-10 00:00:00+00:00,15,6,57,20
2023-10-11 00:00:00+00:00,6,6,125,18
2023-10-12 00:00:00+00:00,2,2,47,15
2023-10-13 00:00:00+00:00,5,3,89,18
2023-10-14 00:00:00+00:00,20,5,43,7
2023-10-15 00:00:00+00:00,3,3,6,5
2023-10-16 00:00:00+00:00,11,6,99,16
2023-10-17 00:00:00+00:00,3,3,76,30
2023-10-18 00:00:00+00:00,5,5,88,24
2023-10-19 00:00:00+00:00,3,3,79,20
2023-10-20 00:00:00+00:00,1,1,34,15
